Character,MBTI,Enneagram,Instinctual_Variant,Tritype,Socionics,Big_5,Attitudinal_Psyche,Temperament,Classic_Jungian
Makima,ENFJ,2w1,so/sx,215,EIE,SCOEI,VELF,PC,EF(N)
Sasuke Uchiha,INTJ,3w4,sx/sp,368,ESI,RLOEI,VFEL,MC,IF(S)
Naruto Uzumaki,ENFP,3w2,so/sx,379,SEE,SCUAI,VELF,S,ES(F)
Katsuki Bakugo,ENTJ,8w7,sx/sp,836,SLE,RLOEN,VFEL,C,ES(F)
Eren Yeager,ISFP,6w7,sx/so,684,SEE,RLUEI,VFEL,CM,IF(S)
Levi Ackerman,ISTP,6w5,sx/so,683,LSI,RCOEN,LFEV,MC,IT(S)
Izuku Midoriya,INFJ,6w5,so/sx,692,EII,RLOAI,EVLF,PM,IF(N)
Asuka Lagley Soryu,ENTJ,3w4,sx/so,386,SEE,SLOEN,EFVL,C,ES(F)
Light Yagami,ENTJ,1w2,so/sp,135,LSI,RCOEI,VLFE,C,ET(N)
Manjirou Sano,INTP,9w8,sx/so,964,ILI,RCUAI,FVEL,PC,IS(F)
Ranpo Edogawa,INTP,5w4,so/sp,593,ILE,SCUEI,LVFE,PS,EN(T)
Ryunosuke Akutagawa,ISFP,4w3,sx/sp,486,ESI,RLUEN,EFVL,MC,IF(S)
Ray,INTP,5w6,sp/sx,584,ILI,RLOEI,LVEF,MC,IT(N)
L,INTP,5w4,sp/sx,594,LII,RCUEI,LVEF,P,IT(N)
Osamu Dazai,ENTP,7w8,sx/sp,748,EIE,SCUEI,ELVF,MS,EN(T)
Mikasa Ackerman,ISTJ,6w5,sx/sp,692,ESI,RLOAN,FVEL,M,IS(F)
Inosuke Hashibira,ESTP,8w7,sx/so,837,SEE,SLUEN,VFEL,C,ES(F)
Killua Zoldyck,INTP,6w5,sp/sx,694,ILE,RLUEI,LFEV,M,IT(N)
Zenitsu Agatsuma,ISFP,6w7,sp/sx,692,ESE,SLUAN,EFLV,SM,IS(F)
Itachi Uchiha,INFJ,1w9,so/sp,154,LII,RCOAI,LVEF,M,IT(N)
Karma Akabane,ENTP,8w7,sp/sx,853,SLE,SCOEI,VLFE,CP,ES(T)
Ochako Uraraka,ESFJ,2w3,so/sp,269,ESE,SCOAI,EFVL,S,EF(S)
Kakashi Hatake,INTP,6w5,sp/so,694,SLI,RCUAI,FLEV,MP,IT(N)
Yuji Itadori,ISFP,7w6,so/sx,729,SEI,SCUAN,EFVL,SM,EF(S)
Armin Arlert,INFJ,6w5,sp/so,649,EII,RLOAI,LEFV,PM,IN(F)
Mello,ENFP,4w3,sx/so,486,SEE,SLUEI,VLEF,C,ES(F)
Monkey D. Luffy,ESFP,7w8,so/sx,872,SEE,SCUAI,VFLE,S,ES(F)
Howl Jenkins Pendragon,ENFP,4w3,so/sx,479,EIE,SLUAI,EVFL,PS,EF(N)
Usagi Tsukino,ENFP,2w3,so/sp,279,ESE,SLUAN,EFLV,SM,EF(S)
Kaneki Ken,INFP,9w1,sp/so,946,EII,RLUAI,ELVF,M,IN(F)
Ken Ryuguji,ESTP,9w8,sx/so,962,SLI,RCOAI,LVFE,PC,ES(T)
Oreki Houtarou,INTJ,5w6,sp/sx,594,ILI,RCUEI,LFEV,P,IN(T)
Dabi,ISFP,4w3,sx/sp,486,ESI,RLUEN,EFVL,MC,IF(S)
Shinobu Kocho,INTJ,1w2,sp/so,153,EIE,RLOAI,VELF,PC,EF(N)
Shinji Ikari,INFP,6w5,sp/so,694,EII,RLUAN,FELV,PM,IS(F)
Shoto Todoroki,INTJ,1w9,sp/so,154,LSI,RCOAI,LVEF,M,IN(T)
Satoru Gojo,ENTP,7w8,sp/so,738,ILE,SCUEI,VLFE,SC,EN(T)
Shuji Hanma,ESTP,7w8,sx/so,783,SLE,SCUEI,VLEF,S,ES(T)
Hisoka Morow,ENTP,7w8,sx/sp,748,ILE,SCUEI,FLVE,SP,EN(T)
Seishiro Nagu,ISTP,9w8,sp/sx,953,SLI,RCUEN,FLEV,P,IS(T)
Chifuyu Matsuno,INFP,6w7,so/sp,629,IEI,SCUAN,EVLF,SM,IF(N)
Floch Forster,ENTJ,6w7,so/sp,683,EIE,SLOEN,LFVE,CS,ET(N)
Saiki Kusuo,INTP,5w6,sp/so,594,SLI,RCOEN,LFEV,P,IS(T)
Yugi Amane,ENTP,7w6,so/sx,729,ILE,SCUEI,VFEL,SM,EN(T)
Tanjiro Kamado,ENFJ,1w2,so/sp,126,EII,SCOAI,EVFL,SP,EF(S)
Haku,INTJ,1w9,sp/so,125,LSI,RCOAI,LVFE,PM,IN(T)
Sherlock Holmes,ENTP,7w8,sx/sp,748,ILE,SCUEI,LVFE,MC,EN(T)
Misato Katsuragi,ENFP,2w3,sx/so,278,SEE,SLUAI,FEVL,SC,ES(F)
Historia Reiss,ESFJ,2w3,sp/so,269,ESE,RCOAN,EFVL,PM,EF(S)
